,Name,Country,revid,0,Population,article_quality
0,Template:ZambiaProvincialMinisters,Zambia,235107991,Stub,15473900,Stub
1,Gladys Lundwe,Zambia,757566606,Stub,15473900,Stub
2,Mwamba Luchembe,Zambia,764848643,Stub,15473900,Stub
3,Thandiwe Banda,Zambia,768166426,Start,15473900,Start
4,Sylvester Chisembele,Zambia,776082926,C,15473900,C
5,Victoria Kalima,Zambia,776530837,Start,15473900,Start
6,Margaret Mwanakatwe,Zambia,779747587,Start,15473900,Start
7,Nkandu Luo,Zambia,779747961,C,15473900,C
8,Susan Nakazwe,Zambia,779748181,Start,15473900,Start
9,Catherine Namugala,Zambia,779748285,Start,15473900,Start
10,Edith Nawakwi,Zambia,779748522,Start,15473900,Start
11,Joyce Nonde-Simukoko,Zambia,779748628,Start,15473900,Start
12,Gladys Nyirongo,Zambia,779748837,C,15473900,C
13,Vera Tembo,Zambia,779748931,C,15473900,C
14,Ompie Nkumbula-Lieventhal,Zambia,790011468,Stub,15473900,Stub
15,Besnat Jere,Zambia,791225634,Stub,15473900,Stub
16,Esther Lungu,Zambia,792296625,C,15473900,C
17,Inonge Wina,Zambia,794006130,Start,15473900,Start
18,Maureen Mwanawasa,Zambia,795820299,Start,15473900,Start
19,First Lady of Zambia,Zambia,796467991,Start,15473900,Start
20,Jean Kapata,Zambia,797469872,Start,15473900,Start
21,Peter Sinkamba,Zambia,799512628,Start,15473900,Start
22,Gwendoline Konie,Zambia,803304465,Start,15473900,Start
23,Kenneth Kaunda,Zambia,805875783,B,15473900,B
24,Inonge Mbikusita-Lewanika,Zambia,805993958,Start,15473900,Start
25,Yobert K. Shamapande,Zambia,806345311,C,15473900,C
26,Bir I of Kanem,Chad,355319463,Stub,13707000,Stub
27,Abdullah II of Kanem,Chad,498683267,Stub,13707000,Stub
28,Salmama II of Kanem,Chad,565745353,Stub,13707000,Stub
29,Kuri I of Kanem,Chad,565745365,Stub,13707000,Stub
30,Mohammed I of Kanem,Chad,565745375,Stub,13707000,Stub
31,Kuri II of Kanem,Chad,669719757,Stub,13707000,Stub
32,Bir II of Kanem,Chad,670893206,Stub,13707000,Stub
33,Mahamat Hissene,Chad,693055898,Stub,13707000,Stub
34,Othman I,Chad,705432607,Stub,13707000,Stub
35,Alphonse Kotiga,Chad,707593108,Stub,13707000,Stub
36,Oueddei Kichidemi,Chad,708346649,Start,13707000,Start
37,Dunama I,Chad,710675092,Stub,13707000,Stub
38,Ahmad (Kanem-Bornu king),Chad,711388267,Stub,13707000,Stub
39,Djibrine Kerallah,Chad,712971263,Stub,13707000,Stub
40,Maurice Ngangtar,Chad,712971315,Stub,13707000,Stub
41,Idriss Miskine,Chad,712971738,Stub,13707000,Stub
42,Laoukein Kourayo Médard,Chad,716886170,Stub,13707000,Stub
43,Nadji Madou,Chad,716886788,Stub,13707000,Stub
44,Noël Milarew Odingar,Chad,716891799,Start,13707000,Start
45,Yaya Dillo Djérou,Chad,717733209,Stub,13707000,Stub
46,Acheikh Ibn-Oumar,Chad,719821590,Start,13707000,Start
47,Quatre Sou Quatre,Chad,720066754,Stub,13707000,Stub
48,Ali Gazi,Chad,722563340,Stub,13707000,Stub
49,Mahamat Djarma Khatir,Chad,725132042,Stub,13707000,Stub
50,Dunama IX Lefiami,Chad,731749611,Stub,13707000,Stub
51,Dawud of Kanem,Chad,736550266,Stub,13707000,Stub
52,Ahmed Koulamallah,Chad,738855197,Start,13707000,Start
53,Abbo Nassour,Chad,741369486,C,13707000,C
54,Abdel Kader Baba-Laddé,Chad,742213176,Stub,13707000,Stub
55,Hummay,Chad,747271475,Stub,13707000,Stub
56,Ngarlejy Yorongar,Chad,751304544,C,13707000,C
57,Saleh Kezabo,Chad,751380073,Stub,13707000,Stub
58,Bourkou Louise Kabo,Chad,757072468,Start,13707000,Start
59,Brahim Koulamallah,Chad,757802238,Stub,13707000,Stub
60,Saadie Goukouni Weddeye,Chad,757842614,Start,13707000,Start
61,Mahamoud Adam Béchir,Chad,762579466,Start,13707000,Start
62,Kalthouma Nguembang,Chad,762816132,Stub,13707000,Stub
63,Djidingar Dono Ngardoum,Chad,764133533,Stub,13707000,Stub
64,Template:ChadPMs,Chad,768123377,Stub,13707000,Stub
65,Template:ChadPres,Chad,770535091,Stub,13707000,Stub
66,Youssouf Saleh Abbas,Chad,771052289,C,13707000,C
67,Koibla Djimasta,Chad,774223245,Start,13707000,Start
68,Nassour Guelendouksia Ouaido,Chad,774223248,C,13707000,C
69,Joseph Brahim Seid,Chad,777478442,Stub,13707000,Stub
70,Joseph Yodoyman,Chad,777550078,Start,13707000,Start
71,Antoine Bangui,Chad,782638002,Start,13707000,Start
72,Ibrahim IV of Bornu,Chad,785614014,Stub,13707000,Stub
73,Hadjé Halimé,Chad,786449636,C,13707000,C
74,Youssouf Togoïmi,Chad,787390241,Start,13707000,Start
75,Adoum Younousmi,Chad,787719236,Start,13707000,Start
76,François Tombalbaye,Chad,787738541,C,13707000,C
77,Ahmat Hassaballah Soubiane,Chad,787910771,Stub,13707000,Stub
78,Ahmad Allam-Mi,Chad,787921293,Start,13707000,Start
79,Laotegguelnodji Koumtog,Chad,788009613,Stub,13707000,Stub
80,Mahamat Ali Adoum,Chad,788014671,Start,13707000,Start
81,Mahamat Saleh Annadif,Chad,788658822,C,13707000,C
82,Mohamed Bechir-Sow,Chad,788827248,Stub,13707000,Stub
83,Gontchomé Sahoulba,Chad,788828388,Start,13707000,Start
84,Gabriel Lisette,Chad,788828519,Start,13707000,Start
85,Ali II of Bornu,Chad,788999424,Stub,13707000,Stub
86,Arabi El Goni,Chad,789126126,Stub,13707000,Stub
87,Dunama Dabbalemi,Chad,789935196,Start,13707000,Start
88,Idris Alooma,Chad,792734868,Start,13707000,Start
89,Mahamat Nouri,Chad,792954115,FA,13707000,FA
90,Idriss Ndele Moussa,Chad,796654025,Start,13707000,Start
91,Mbaydoum Simeon,Chad,796690873,Stub,13707000,Stub
92,Ngarindo Milengar,Chad,796700718,Stub,13707000,Stub
93,List of Prime Ministers of Chad,Chad,797747674,Start,13707000,Start
94,Idriss Déby,Chad,798286150,B,13707000,B
95,Saleh Kebzabo,Chad,798626040,C,13707000,C
96,Moussa Faki,Chad,799043301,C,13707000,C
97,Template:Chad-politician-stub,Chad,799373925,Stub,13707000,Stub
98,Kalzeubet Pahimi Deubet,Chad,799413193,Stub,13707000,Stub
99,Haroun Kabadi,Chad,799447895,Start,13707000,Start
100,Nagoum Yamassoum,Chad,799447995,Start,13707000,Start
101,Outel Bono,Chad,799448338,Stub,13707000,Stub
102,Ahmat Acyl,Chad,799902492,B,13707000,B
103,Djimrangar Dadnadji,Chad,800133552,Start,13707000,Start
104,Delwa Kassiré Koumakoye,Chad,801029539,C,13707000,C
105,Fidèle Moungar,Chad,801192255,C,13707000,C
106,Jean Alingué Bawoyeu,Chad,801192303,B,13707000,B
107,Emmanuel Nadingar,Chad,801573576,C,13707000,C
108,Roger Djikisna,Chad,801583221,Stub,13707000,Stub
109,Firmin Djidingar,Chad,801583260,Stub,13707000,Stub
110,Idris I of Kanem,Chad,802874918,Stub,13707000,Stub
111,Vice President of Chad,Chad,803166509,Stub,13707000,Stub
112,Hissène Habré,Chad,803166806,GA,13707000,GA
113,Negue Djogo,Chad,803166989,Start,13707000,Start
114,Wadel Abdelkader Kamougué,Chad,803167152,C,13707000,C
115,Félix Malloum,Chad,803167336,Start,13707000,Start
116,Lol Mahamat Choua,Chad,803167424,C,13707000,C
117,Goukouni Oueddei,Chad,803167990,C,13707000,C
118,Albert Pahimi Padacké,Chad,803433107,C,13707000,C
119,List of heads of state of Chad,Chad,803812011,Start,13707000,Start
120,Elise Loum,Chad,804773540,Start,13707000,Start
121,Agnes Allafi,Chad,805493169,Start,13707000,Start
122,Christine Georges Diguibaye,Chad,806337653,Stub,13707000,Stub
123,Pascal Yoadimnadji,Chad,806508985,Start,13707000,Start
124,Aissa Koli,Chad,806616268,Start,13707000,Start
125,Omar I of Kanem,Chad,807425129,Start,13707000,Start
126,Template:Zimbabwe-politician-stub,Zimbabwe,391862046,Stub,17354000,Stub
127,Template:Zimbabwe-mayor-stub,Zimbabwe,444767985,Stub,17354000,Stub
128,Jabulani Dube,Zimbabwe,645408814,Stub,17354000,Stub
129,Fletcher Dulini,Zimbabwe,669981316,Stub,17354000,Stub
130,Leopold Takawira,Zimbabwe,710060929,Start,17354000,Start
131,Tinos Rusere,Zimbabwe,710524880,Start,17354000,Start
132,Gift Tandare,Zimbabwe,710615823,Stub,17354000,Stub
133,Engelbert Rugeje,Zimbabwe,711448400,Start,17354000,Start
134,Max Mnkandla,Zimbabwe,711509855,Stub,17354000,Stub
135,Lovemore Matombo,Zimbabwe,711958194,Stub,17354000,Stub
136,Alfred Nikita Mangena,Zimbabwe,712004487,Stub,17354000,Stub
137,Simbi Mubako,Zimbabwe,713121927,Stub,17354000,Stub
138,Nicholas Kiti kiti,Zimbabwe,713308132,Stub,17354000,Stub
139,Aleck Gumbo,Zimbabwe,713580662,Stub,17354000,Stub
140,Jabulani Sibanda,Zimbabwe,713618917,Start,17354000,Start
141,Cain Mathema,Zimbabwe,713726531,Stub,17354000,Stub
142,Patrick Kombayi,Zimbabwe,713740128,Stub,17354000,Stub
143,Langton Towungana,Zimbabwe,713899377,Stub,17354000,Stub
144,Eric Matinenga,Zimbabwe,714455111,Stub,17354000,Stub
145,Emmanuel Chiroto,Zimbabwe,714535045,Stub,17354000,Stub
146,Muchadeyi Masunda,Zimbabwe,714706533,C,17354000,C
147,David Butau,Zimbabwe,714967769,Stub,17354000,Stub
148,Thompson Samkange,Zimbabwe,715131189,Stub,17354000,Stub
